Serial Number,"Object [A,B,C]","Object Texture [1,2,3]","BG Texture [1,2,3]",Motion [1-12],"Speed [1,2,3,HAND]","CF [Y,N]",Distance [cm]
1,A,2,2,1,2,N,20
2,A,2,2,1,2,Y,24
3,A,2,2,1,2,N,24
4,A,2,2,2,2,N,24
5,A,2,2,2,2,N,24
6,A,2,2,3,2,Y,24
7,A,2,2,4,2,Y,24
8,A,2,2,4,2,N,24
9,A,2,2,4,2,N,24
10,A,2,2,3,2,N,24
11,A,2,2,3,2,N,24
12,A,2,2,2,2,Y,24
13,A,2,2,5,2,N,24
14,A,2,2,5,2,Y,24
15,A,2,2,6,2,Y,24
16,A,2,2,6,2,N,24
17,A,2,2,7,HAND,N,24
18,A,2,2,8,HAND,N,24
19,A,2,2,7,HAND,Y,24
20,A,2,2,8,HAND,Y,24
21,A,2,2,9,HAND,Y,24
22,A,2,2,10,HAND,Y,24
23,A,2,2,11,HAND,Y,24
24,A,2,2,12,HAND,Y,24
25,A,2,2,9,HAND,N,24
26,A,2,2,10,HAND,N,24
27,A,2,2,11,HAND,N,24
28,A,2,2,12,HAND,N,24
29,A,2,3,9,HAND,N,24
30,A,2,3,10,HAND,N,24
31,A,2,3,11,HAND,N,24
32,A,2,3,12,HAND,N,24
33,A,2,3,11,HAND,N,24
34,A,2,3,12,HAND,N,24
35,A,2,3,11,HAND,Y,24
36,A,2,3,12,HAND,Y,24
37,A,2,3,12,HAND,Y,24
38,A,2,3,7,HAND,Y,24
39,A,2,3,8,HAND,Y,24
40,A,2,3,7,HAND,N,24
41,A,2,3,8,HAND,N,24
42,A,2,3,9,HAND,Y,24
43,A,2,3,10,HAND,Y,24
44,A,2,3,1,2,Y,24
45,A,2,3,3,2,Y,24
46,A,2,3,4,2,Y,24
47,A,2,3,5,2,Y,24
48,A,2,3,6,1,Y,24
49,A,2,3,6,2,Y,24
50,A,2,3,1,2,N,24
51,A,2,3,3,2,N,24
52,A,2,3,4,2,N,24
53,A,2,3,5,2,N,24
54,A,2,3,6,2,N,24
55,A,2,3,2,2,N,24
56,A,2,3,2,2,N,24
57,A,2,3,2,2,Y,24
58,A,1,3,2,2,Y,24
59,A,1,3,9,HAND,Y,24
60,A,1,3,10,HAND,Y,24
61,A,1,3,3,2,Y,24
62,A,1,3,5,2,Y,24
63,A,1,3,4,2,Y,24
64,A,1,3,6,2,Y,24
65,A,1,3,11,HAND,Y,24
66,A,1,3,12,HAND,Y,24
67,A,1,3,7,HAND,Y,24
68,A,1,3,8,HAND,Y,24
69,A,1,3,7,HAND,N,24
70,A,1,3,8,HAND,N,24
71,A,1,3,9,HAND,N,24
72,A,1,3,10,HAND,N,24
73,A,1,3,11,HAND,N,24
74,A,1,3,12,HAND,N,24
75,A,1,3,2,2,N,24
76,A,1,3,3,2,N,24
77,A,1,3,5,2,N,24
78,A,1,3,4,2,N,24
79,A,1,3,6,2,N,24
80,A,1,3,1,2,N,24
81,A,1,3,1,2,Y,24
82,C,2,3,1,2,Y,24
83,C,2,3,3,2,Y,24
84,C,2,3,4,2,Y,24
85,C,2,3,9,HAND,Y,24
86,C,2,3,10,HAND,Y,24
87,C,2,3,7,HAND,Y,24
88,C,2,3,8,HAND,Y,24
89,C,2,3,1,2,N,24
90,C,2,3,3,2,N,24
91,C,2,3,4,2,N,24
92,C,2,3,9,HAND,N,24
93,C,2,3,10,HAND,N,24
94,C,2,3,7,HAND,N,24
95,C,2,3,8,HAND,N,24
96,C,2,3,2,2,N,24
97,C,2,3,2,2,Y,24
98,B,1,1,2,2,Y,24
99,B,1,1,3,2,Y,24
100,B,1,1,4,2,Y,24
101,B,1,1,7,HAND,Y,24
102,B,1,1,8,HAND,Y,24
103,B,1,1,7,HAND,N,24
104,B,1,1,8,HAND,N,24
105,B,1,1,2,2,N,24
106,B,1,1,3,2,N,24
107,B,1,1,4,2,N,24
108,B,1,1,1,2,N,24
109,B,1,1,1,2,Y,24
110,B,2,2,1,2,Y,24
111,B,2,2,3,2,Y,24
112,B,2,2,4,2,Y,24
113,B,2,2,7,HAND,Y,24
114,B,2,2,8,HAND,Y,24
115,B,2,2,7,HAND,N,24
116,B,2,2,8,HAND,N,24
117,B,2,2,1,2,N,24
118,B,2,2,3,2,N,24
119,B,2,2,4,2,N,24
120,B,2,2,2,2,N,24
121,B,2,2,2,2,Y,24
122,B,2,2,2,1,N,24
123,B,2,2,2,3,N,24
